,Country,Year,ECCN Code,Description,Rank,Ranking
608,China,2019,5D002,"""Software"" as follows (see List of Items Controlled)",6,Exceptions
609,China,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",7,Exceptions
610,China,2019,BLANK,No ECCN is required for License Exceptions TMP*,8,Exceptions
611,China,2019,EAR99,No ECCN Reported,9,Exceptions
612,China,2019,1C006,Fluids and Lubricating Materials,10,Exceptions
613,China,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
614,China,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
615,China,2019,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
616,China,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,4,NLR with ECCN
617,China,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
618,China,2019,3B992,Equip. for the Inspection/Testing of Components not Controlled buy 3B002,6,NLR with ECCN
619,China,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",7,NLR with ECCN
620,China,2019,3A999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
621,China,2019,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,9,NLR with ECCN
622,China,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003 or 7A103,10,NLR with ECCN
623,EU,2019,9A610,Military Aircraft and Related Commodities,1,License
624,EU,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",2,License
625,EU,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,License
626,EU,2019,3A611,Military Electronics,4,License
627,EU,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes...",5,License
628,EU,2019,7A003,Inertial Navigation Systems (Gimballed/Strapdown),6,License
629,EU,2019,0A606,Ground Vehicles and Related Commodities,7,License
630,EU,2019,9A515,Spacecraft and Related Commodities,8,License
631,EU,2019,1C351,Human and Animal Pathogens and toxins,9,License
632,EU,2019,3A001,Electronic Components,10,License
633,EU,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
634,EU,2019,9A610,Military Aircraft and Related Commodities,2,Exceptions
635,EU,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
636,EU,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,4,Exceptions
637,EU,2019,3A611,Military Electronics,5,Exceptions
638,EU,2019,9A515,Spacecraft and Related Commodities,6,Exceptions
639,EU,2019,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",7,Exceptions
640,EU,2019,3A001,Electronic Components,8,Exceptions
641,EU,2019,6A003,Cameras,9,Exceptions
642,EU,2019,5D002,Information Security,10,Exceptions
643,EU,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,1,NLR with ECCN
644,EU,2019,5A992,Equipment not controlled by 5A002,2,NLR with ECCN
645,EU,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
646,EU,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,4,NLR with ECCN
647,EU,2019,38991,Other Mfg/Test Equip. Not Controlled By 3B,5,NLR with ECCN
648,EU,2019,4A994,Computers Not Controlled By 4A001 or 4A003,6,NLR with ECCN
649,EU,2019,38001,Epitaxial Equip. for Semiconductors,7,NLR with ECCN
650,EU,2019,3A999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
651,EU,2019,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002...",9,NLR with ECCN
652,EU,2019,1C990,"Fibrous and Filamentary Materials, Not Controlled By 1C010 Or 1C210, f...",10,NLR with ECCN
653,Germany,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,License
654,Germany,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,License
655,Germany,2019,5A992,Equipment not controlled by 5A002,3,License
656,Germany,2019,7A994,Other Navigation Direction Finding Equip. Not Controlled under 7A003,4,License
657,Germany,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,5,License
658,Germany,2019,3A999,"Specific Processing Equip., N.E.S.",6,License
659,Germany,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,7,License
660,Germany,2019,4A994,Computers Not Controlled By 4A001 or 4A003,8,License
661,Germany,2019,6A005,Optical Equip. (Lasers),9,License
662,Germany,2019,1C210,"Fibrous/Filamentary Materials Not Controlled By 1C010.a, .b or .e",10,License
663,Germany,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
664,Germany,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,Exceptions
665,Germany,2019,9A610,Military Aircraft and Related Commodities,3,Exceptions
666,Germany,2019,3A611,Military Electronics,4,Exceptions
667,Germany,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",5,Exceptions
668,Germany,2019,0A606,Ground Vehicles and Related Commodities,6,Exceptions
669,Germany,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes...",7,Exceptions
670,Germany,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,8,Exceptions
671,Germany,2019,9A515,Spacecraft and Related Commodities,9,Exceptions
672,Germany,2019,9A619,Military Gas Turbine Engines and Related Commodities,10,Exceptions
673,Germany,2019,0A617,"Miscellaneous Equip., Materials, and Related Commodities",1,NLR with ECCN
674,Germany,2019,0A987,Optical Sighting Devices for Firearms,2,NLR with ECCN
675,Germany,2019,3E102,"""Technology"" for the ""Development"" of ""Software"" Controlled by 3D101",3,NLR with ECCN
676,Germany,2019,3B001,Epitaxial Equip. for Semiconductors,4,NLR with ECCN
677,Germany,2019,0A979,"Police Helmets, Shields and Parts",5,NLR with ECCN
678,Germany,2019,4A994,Computers Not Controlled By 4A001 or 4A003,6,NLR with ECCN
679,Germany,2019,9A610,Military Aircraft and Related Commodities,7,NLR with ECCN
680,Germany,2019,9A619,Military Gas Turbine Engines and Related Commodities,8,NLR with ECCN
681,Germany,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,9,NLR with ECCN
682,Germany,2019,9B515,"Test, Inspection, and Production Equip. Specially Designed for Spacecr...",10,NLR with ECCN
683,Hong Kong,2019,3A001,Electronic Components,1,License
684,Hong Kong,2019,2A983,Explosives Or Detonator Detection Equip.,2,License
685,Hong Kong,2019,0A987,Optical Sighting Devices for Firearms,3,License
686,Hong Kong,2019,1A004,Protective and Detection Equip.,4,License
687,Hong Kong,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,5,License
688,Hong Kong,2019,3A233,Mass Spectrometers,6,License
689,Hong Kong,2019,9A610,Military Aircraft and Related Commodities,7,License
690,Hong Kong,2019,1A984,"Chemical Agents, Including Tear Gas",8,License
691,Hong Kong,2019,1A607,"Military dissemination ""equipment"" for riot control agents",9,License
692,Hong Kong,2019,6A003,Cameras,10,License
693,Hong Kong,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,1,Exceptions
694,Hong Kong,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",2,Exceptions
695,Hong Kong,2019,5A992,Equipment not controlled by 5A002,3,Exceptions
696,Hong Kong,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",4,Exceptions
697,Hong Kong,2019,9A515,Spacecraft and Related Commodities,5,Exceptions
698,Hong Kong,2019,9E515,"Technology Required for the Development, Production, Operation, Instal...",6,Exceptions
699,Hong Kong,2019,9D515,"Software Specially Designed for the Development, Production Operation,...",7,Exceptions
700,Hong Kong,2019,3A233,Mass Spectrometers,8,Exceptions
701,Hong Kong,2019,2A983,Explosives Or Detonator Detection Equip.,9,Exceptions
702,Hong Kong,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,10,Exceptions
703,Hong Kong,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
704,Hong Kong,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,2,NLR with ECCN
705,Hong Kong,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,3,NLR with ECCN
706,Hong Kong,2019,5A992,Equipment not controlled by 5A002,4,NLR with ECCN
707,Hong Kong,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",5,NLR with ECCN
708,Hong Kong,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,6,NLR with ECCN
709,Hong Kong,2019,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
710,Hong Kong,2019,3A999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
711,Hong Kong,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,9,NLR with ECCN
712,Hong Kong,2019,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,10,NLR with ECCN
713,India,2019,9A515,Spacecraft and Related Commodities,1,License
714,India,2019,9A610,Military Aircraft and Related Commodities,2,License
715,India,2019,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",3,License
716,India,2019,3A001,Electronic Components,4,License
717,India,2019,3A611,Military Electronics,5,License
718,India,2019,3A233,Mass Spectrometers,6,License
719,India,2019,9A619,Military Gas Turbine Engines and Related Commodities,7,License
720,India,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,8,License
721,India,2019,2B001,Machine tools/Numerical Control Units,9,License
722,India,2019,2B201,Machine tools for Removing Or Cutting Metals,10,License
723,India,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
724,India,2019,9A610,Military Aircraft and Related Commodities,2,Exceptions
725,India,2019,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",3,Exceptions
726,India,2019,9A515,Spacecraft and Related Commodities,4,Exceptions
727,India,2019,3A001,Electronic Components,5,Exceptions
728,India,2019,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",6,Exceptions
729,India,2019,9A619,Military Gas Turbine Engines and Related Commodities,7,Exceptions
730,India,2019,5D002,"""Software"" as follows (see List of Items Controlled)",8,Exceptions
731,India,2019,3A611,Military Electronics,9,Exceptions
732,India,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",10,Exceptions
733,India,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
734,India,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
735,India,2019,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
736,India,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
737,India,2019,1C999,"Specific Materials, N.E.S., as Follows (See List of Items Controlled)...",5,NLR with ECCN
738,India,2019,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,6,NLR with ECCN
739,India,2019,3B991,"Specific Processing Equip., Ν.Ε.Σ.",7,NLR with ECCN
740,India,2019,5C991,Preforms of Glass Or of Any Other Material Optimized for the Manufactu...,8,NLR with ECCN
741,India,2019,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,9,NLR with ECCN
742,India,2019,2B991,"Numerical Control Units for Machine tools and ""Numerically Controlled""",10,NLR with ECCN
743,Indonesia,2019,2B350,Chemical Manufacturing Facilities and Equip.,1,License
744,Indonesia,2019,9A610,Military Aircraft and Related Commodities,2,License
745,Indonesia,2019,3A611,Military Electronics,3,License
746,Indonesia,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,4,License
747,Indonesia,2019,2B352,Equip. for Handling Biological Materials,5,License
748,Indonesia,2019,1A004,Protective and Detection Equip.,6,License
749,Indonesia,2019,6A003,Cameras,7,License
750,Indonesia,2019,7A611,"Navigation and Avionics equipment and systems, and ""parts"",",8,License
751,Indonesia,2019,0A987,Optical Sighting Devices for Firearms,9,License
752,Indonesia,2019,1A613,"Armored and Protective Equip., Constructions, and Components",10,License
753,Indonesia,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
754,Indonesia,2019,9A610,Military Aircraft and Related Commodities,2,Exceptions
755,Indonesia,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,3,Exceptions
756,Indonesia,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",4,Exceptions
757,Indonesia,2019,3A611,Military Electronics,5,Exceptions
758,Indonesia,2019,5D002,"""Software"" as follows (see List of Items Controlled)",6,Exceptions
759,Indonesia,2019,1C006,Fluids and Lubricating Materials,7,Exceptions
760,Indonesia,2019,9A619,Military Gas Turbine Engines and Related Commodities,8,Exceptions
761,Indonesia,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
762,Indonesia,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
763,Indonesia,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
764,Indonesia,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
765,Indonesia,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,4,NLR with ECCN
766,Indonesia,2019,5A992,Equipment not controlled by 5A002,5,NLR with ECCN
767,Indonesia,2019,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002...",6,NLR with ECCN
768,Indonesia,2019,1C992,Commercial Charges and Devices Containing Energetic Materials,7,NLR with ECCN
769,Indonesia,2019,2B991,"Numerical Control Units for Machine tools and ""Numerically Controlled""...",8,NLR with ECCN
770,Indonesia,2019,2B999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
771,Indonesia,2019,3A999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
772,Japan,2019,9A610,Military Aircraft and Related Commodities,1,License
773,Japan,2019,3A611,Military Electronics,2,License
774,Japan,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,License
775,Japan,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,",4,License
776,Japan,2019,9A515,Spacecraft and Related Commodities,5,License
777,Japan,2019,9A001,Aero Gas Turbine Engines,6,License
778,Japan,2019,7A611,"Navigation and Avionics equipment and systems, and ""parts"",",7,License
779,Japan,2019,8A609,Surface Vessels of War and Related Commodities,8,License
780,Japan,2019,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",9,License
781,Japan,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",10,License
782,Japan,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
783,Japan,2019,9A610,Military Aircraft and Related Commodities,2,Exceptions
784,Japan,2019,3A611,Military Electronics,3,Exceptions
785,Japan,2019,9A004,Space Launch Vehicles and Spacecraft,4,Exceptions
786,Japan,2019,9A619,Military Gas Turbine Engines and Related Commodities,5,Exceptions
787,Japan,2019,3A001,Electronic Components,6,Exceptions
788,Japan,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,...",7,Exceptions
789,Japan,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,8,Exceptions
790,Japan,2019,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",9,Exceptions
791,Japan,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
792,Japan,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
793,Japan,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,3,NLR with ECCN
794,Japan,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
795,Japan,2019,5A992,Equipment not controlled by 5A002,5,NLR with ECCN
796,Japan,2019,3B992,Equip. for the Inspection/Testing of Components not controlled by 3B002,6,NLR with ECCN
797,Japan,2019,7A994,Other Navigation Direction Finding Equip. Not Controlled under 7A003,7,NLR with ECCN
798,Japan,2019,3A999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
799,Japan,2019,1C992,Commercial Charges and Devices Containing Energetic Materials,9,NLR with ECCN
800,Japan,2019,1C990,"Fibrous and Filamentary Materials, Not Controlled By 1C010 Or 1C210, f...",10,NLR with ECCN
801,Korea,2019,9A619,Military Gas Turbine Engines and Related Commodities,1,License
802,Korea,2019,7A003,Inertial Navigation Systems (Gimballed/Strapdown),2,License
803,Korea,2019,9A610,Military Aircraft and Related Commodities,3,License
804,Korea,2019,0A606,Ground Vehicles and Related Commodities,4,License
805,Korea,2019,6A003,Cameras,5,License
806,Korea,2019,3A611,Military Electronics,6,License
807,Korea,2019,7A611,"Navigation and Avionics equipment and systems, and ""parts"",",7,License
808,Korea,2019,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007",8,License
809,Korea,2019,1C111,Propellants and Constituent Chemicals,9,License
810,Korea,2019,9A515,Spacecraft and Related Commodities,10,License
811,Korea,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
812,Korea,2019,9A610,Military Aircraft and Related Commodities,2,Exceptions
813,Korea,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
814,Korea,2019,8A609,Surface Vessels of War and Related Commodities,4,Exceptions
815,Korea,2019,3A611,Military Electronics,5,Exceptions
816,Korea,2019,3A001,Electronic Components,6,Exceptions
817,Korea,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,7,Exceptions
818,Korea,2019,0A606,Ground Vehicles and Related Commodities,8,Exceptions
819,Korea,2019,7A003,Inertial Navigation Systems (Gimballed/Strapdown),9,Exceptions
820,Korea,2019,1C006,Fluids and Lubricating Materials,10,Exceptions
821,Korea,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
822,Korea,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,2,NLR with ECCN
823,Korea,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,3,NLR with ECCN
824,Korea,2019,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,4,NLR with ECCN
825,Korea,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
826,Korea,2019,5A992,Equipment not controlled by 5A002,6,NLR with ECCN
827,Korea,2019,3B001,Epitaxial Equip. for Semiconductors,7,NLR with ECCN
828,Korea,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",8,NLR with ECCN
829,Korea,2019,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002...",9,NLR with ECCN
830,Korea,2019,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,10,NLR with ECCN
831,Russia,2019,9A001,Aero Gas Turbine Engines,1,License
832,Russia,2019,2B001,Machine tools/Numerical Control Units,2,License
833,Russia,2019,9A515,Spacecraft and Related Commodities,3,License
834,Russia,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,",4,License
835,Russia,2019,2B350,Chemical Manufacturing Facilities and Equip.,5,License
836,Russia,2019,1A004,Protective and Detection Equip.,6,License
837,Russia,2019,3A001,Electronic Components,7,License
838,Russia,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",8,License
839,Russia,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,9,License
840,Russia,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,10,License
841,Russia,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
842,Russia,2019,9A515,Spacecraft and Related Commodities,2,Exceptions
843,Russia,2019,5D002,"""Software"" as follows (see List of Items Controlled)",3,Exceptions
844,Russia,2019,3A001,Electronic Components,4,Exceptions
845,Russia,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",5,Exceptions
846,Russia,2019,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",6,Exceptions
847,Russia,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,7,Exceptions
848,Russia,2019,0A617,"Miscellaneous Equip., Materials, and Related Commodities",8,Exceptions
849,Russia,2019,5B001,"Telecommunication Test, Inspection and Production Equip., ""Components""",9,Exceptions
850,Russia,2019,5A992,Equipment not controlled by 5A002,10,Exceptions
851,Russia,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
852,Russia,2019,2B999,"Specific Processing Equip., N.E.S.",2,NLR with ECCN
853,Russia,2019,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
854,Russia,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
855,Russia,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,5,NLR with ECCN
856,Russia,2019,1C225,Boron Enriched In the Boron-10 (10B) Isotope to Greater Than Its Natur...,6,NLR with ECCN
857,Russia,2019,9A990,"Diesel Engines, N.E.S., and Tractors and “Specially Designed",7,NLR with ECCN
858,Russia,2019,3A999,"Parts""",8,NLR with ECCN
859,Russia,2019,3A992,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
860,Russia,2019,1A999,General Purpose Electronic Equip. Note Controlled by 3A002,10,NLR with ECCN
861,Singapore,2019,6A001,"Acoustic Systems, Equipment and ""Components""",1,License
862,Singapore,2019,9A610,Military Aircraft and Related Commodities,2,License
863,Singapore,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,License
864,Singapore,2019,3A233,Mass Spectrometers,4,License
865,Singapore,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,5,License
866,Singapore,2019,2B230,Pressure Transducers,6,License
867,Singapore,2019,3A611,Military Electronics,7,License
868,Singapore,2019,7A002,"Gyros and Angular Rate Sensors,",8,License
869,Singapore,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",9,License
870,Singapore,2019,1A004,Protective and Detection Equip,10,License
871,Singapore,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
872,Singapore,2019,2B350,Chemical Manufacturing Facilities and Equip.,2,Exceptions
873,Singapore,2019,9A610,Military Aircraft and Related Commodities,3,Exceptions
874,Singapore,2019,3A001,Electronic Components,4,Exceptions
875,Singapore,2019,3A611,Military Electronics,5,Exceptions
876,Singapore,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,6,Exceptions
877,Singapore,2019,9A619,Military Gas Turbine Engines and Related Commodities,7,Exceptions
878,Singapore,2019,1C008,Non-Fluorinated Polymeric Substances,8,Exceptions
879,Singapore,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
880,Singapore,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",10,Exceptions
881,Singapore,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
882,Singapore,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
883,Singapore,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,3,NLR with ECCN
884,Singapore,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",4,NLR with ECCN
885,Singapore,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
886,Singapore,2019,5A992,Equipment not controlled by 5A002,6,NLR with ECCN
887,Singapore,2019,3B992,Equip. for the Inspection/Testing of Components not controlled by 3B002,7,NLR with ECCN
888,Singapore,2019,4A994,Computers Not Controlled By 4A001 or 4A003,8,NLR with ECCN
889,Singapore,2019,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,9,NLR with ECCN
890,Singapore,2019,3A999,"Specific Processing Equip., N.E.S. Not Controlled under 7A003",10,NLR with ECCN
891,Taiwan,2019,9A610,Military Aircraft and Related Commodities,1,License
892,Taiwan,2019,3B001,Epitaxial Equip. for Semiconductors,2,License
893,Taiwan,2019,9A619,Military Gas Turbine Engines and Related Commodities,3,License
894,Taiwan,2019,2B350,Chemical Manufacturing Facilities and Equip.,4,License
895,Taiwan,2019,3A233,Mass Spectrometers,5,License
896,Taiwan,2019,0A614,Military Training Equipment,6,License
897,Taiwan,2019,3A611,Military Electronics,7,License
898,Taiwan,2019,3C004,"Hydrides of Phosphorus, Arsenic, Or Antimony",8,License
899,Taiwan,2019,2B230,Pressure Transducers,9,License
900,Taiwan,2019,98610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",10,License
901,Taiwan,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
902,Taiwan,2019,3A001,Electronic Components,2,Exceptions
903,Taiwan,2019,3B001,Epitaxial Equip. for Semiconductors,3,Exceptions
904,Taiwan,2019,3C001,Hetero-Epitaxial Materials,4,Exceptions
905,Taiwan,2019,8A001,Submersible Vehicles Or Surface Vessels,5,Exceptions
906,Taiwan,2019,9A610,Military Aircraft and Related Commodities,6,Exceptions
907,Taiwan,2019,3C004,"Hydrides of Phosphorus, Arsenic, Or Antimony",7,Exceptions
908,Taiwan,2019,3A002,General Purpose Electronic Equip.,8,Exceptions
909,Taiwan,2019,9A619,Military Gas Turbine Engines and Related Commodities,9,Exceptions
910,Taiwan,2019,3C006,"""Substrates"" Specified In 3C005 with At Least one Epitaxial Layer of S...",10,Exceptions
911,Taiwan,2019,3B991,Other Mfg/Test Equip. Not Controlled By 3B,1,NLR with ECCN
912,Taiwan,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
913,Taiwan,2019,3B992,Equip. for the Inspection/Testing of Components not controlled by 3B002,3,NLR with ECCN
914,Taiwan,2019,3A991,"Electronic Devices and ""Components"" not controlled by 3A001",4,NLR with ECCN
915,Taiwan,2019,5A992,Equipment not controlled by 5A002,5,NLR with ECCN
916,Taiwan,2019,5A991,Telecommunication Equip. Not Controlled by 5A001,6,NLR with ECCN
917,Taiwan,2019,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
918,Taiwan,2019,2B999,"Specific Processing Equip., N.E.S.",8,NLR with ECCN
919,Taiwan,2019,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,9,NLR with ECCN
920,Taiwan,2019,5B991,Telecommunications Test Equip,10,NLR with ECCN
921,Turkey,2019,7A003,Inertial Navigation Systems (Gimballed/Strapdown),1,License
922,Turkey,2019,9A610,Military Aircraft and Related Commodities,2,License
923,Turkey,2019,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",3,License
924,Turkey,2019,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",4,License
925,Turkey,2019,9A619,Military Gas Turbine Engines and Related Commodities,5,License
926,Turkey,2019,0A606,Ground Vehicles and Related Commodities,6,License
927,Turkey,2019,3A611,Military Electronics,7,License
928,Turkey,2019,6A003,Cameras,8,License
929,Turkey,2019,6A001,"Acoustic Systems, Equipment and ""Components""",9,License
930,Turkey,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,10,License
931,Turkey,2019,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
932,Turkey,2019,9A619,Military Gas Turbine Engines and Related Commodities,2,Exceptions
933,Turkey,2019,9A610,Military Aircraft and Related Commodities,3,Exceptions
934,Turkey,2019,3A611,Military Electronics,4,Exceptions
935,Turkey,2019,7A103,"Instrumentation, Navigation Equip./Systems Not",5,Exceptions
936,Turkey,2019,08604,"Test, Inspection, and Production ""Equip."" and Related Commodities ""Spe...",6,Exceptions
937,Turkey,2019,6A003,Cameras,7,Exceptions
938,Turkey,2019,0A606,Ground Vehicles and Related Commodities,8,Exceptions
939,Turkey,2019,3A001,Electronic Components,9,Exceptions
940,Turkey,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,10,Exceptions
941,Turkey,2019,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
942,Turkey,2019,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...,2,NLR with ECCN
