,ECCN Code,Description
482,3A981,Polygraphs/Fingerprint Analyzers/Cameras/Equip.
487,0A985,Discharge Type Arms and devices to administer electric shock
488,1A984,"Chemical Agents, Including Tear Gas"
498,1A613,"Armored and Protective Equip., Constructions, and Components"
502,3A991,"Electronic Devices and ""Components"" not controlled by 3A001"
505,1C992,Commercial Charges and Devices Containing Energetic Materials ...
506,3A999,"Specific Processing Equip., Ν.Ε.S."
507,1A999,"Specific Processing Equip., N.E.S."
521,N/A,No ECCN is required for license exception on TMP as per EAR 758.1.(g)(2)
528,5B002,"Information Security Test, Inspection and Production Equip., as follows"
530,5A992,Equipment not Controlled by 5A002
547,6A001,"Acoustic Systems, Equipment and ""Components"""
604,1C010,Fibrous/Filamentary Materials as follows (see List of Items Controlled)
606,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows (see List of Items Controlled).
613,2B230,Items subject to the EAR that are not elsewhere controlled
616,BLANK,No ECCN is required for License Exceptions TMP*
626,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003 or 7A103
633,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes..."
652,38991,Other Mfg/Test Equip. Not Controlled By 3B
654,38001,Epitaxial Equip. for Semiconductors
675,blank,No ECCN is required for License Exceptions TMP*
678,0A617,"Miscellaneous Equip., Materials, and Related Commodities"
680,3E102,"""Technology"" for the ""Development"" of ""Software"" Controlled by 3D101"
682,0A979,"Police Helmets, Shields and Parts"
687,9B515,"Test, Inspection, and Production Equip. Specially Designed for Spacecr..."
693,1A607,"Military dissemination ""equipment"" for riot control agents"
727,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows
747,3A999,"Specific Processing Equip., Ν.Ε.Σ"
754,3A231,Neutron Generator Systems Including Tubes
755,1A007,Devices Designed to Initiate Energetic Charges
776,1A995,Protective and Detection Equip
785,8A620,"Submersible Vehicles, Oceanographic and associated Commodities"
801,7A994,Other Navigation Direction Finding Equip. Not Controlled under 7A003
813,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007"
841,7E101,Technology for Equip./Software Controlled By 7A
852,5B001,"Telecommunication Test, Inspection and Production Equip., ""Components"""
865,1A999,"Specific Processing Equip., N.E.S"
884,1C008,Non-Fluorinated Polymeric Substances
892,2B999,"Specific Processing Equip., N.E.S. Not Controlled under 7A003"
895,3B992,Equip. for the Inspection/Testing of Components not controlled by 3B002
934,9B619,"Test, Inspection, and Production Equip. and Related Commodities Specia..."
965,0E604,"Technology Required for Items Controlled In 0A604, 08604 Or 0D604"
982,2B999,"Specific Processing Equip., Ν.Ε.Σ."
1002,4A003,"""Digital Computers,"" ""Electronic assemblies"" and Related Equip. theref..."
1018,1A004,Protective and Detection Equip
1027,0A998,"Oil and Gas Exploration Equip., Software, and Data, as Follows (See Li..."
1074,Blank,No ECCN is required for License Exceptions TMP*
1091,0A501,Firearms (except 0A502 shotguns) and related commodities as follows
1098,0A505,Ammunition as follows (see List of Items Controlled)
1102,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A1
1103,EAR99,EAR99 Items subject to the EAR that are not elsewhere controlled
1106,0A614,Military Training Equip.
1113,5A992,Equipment not controlled by 5A002 (see List of Items Controlled).
1116,3A992,General Purpose Electronic Equip. Not Controlled by 3A002
1127,1C234,"Zirconium, with a Hafnium Content"
1136,5B002,"""Information Security"" test, inspection and ""production"" equipment"
1137,5D992,"Information Security"" ""software"" not controlled by 5D002 as follo"
1147,3B992,Equip. for the Inspection/Testing of Components not Controlled buy 3B0
1151,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia"
1159,0A501,Firearms (except 0A502 shotguns) and related commodities as follows (s
1183,0A504,Optical sighting devices for firearms (including shotguns controlled b
1192,5D002,'Software' as follows (see List of Items Controlled)
1198,No ECCN,No ECCN No ECCN is required for License Exceptions TMP*
1199,10006,Fluids and Lubricating Materials
1209,1A995,"Protective and Detection Equip., N.E.S., as Follows (See List of Items Cont"
1213,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, etc."
1214,0A501,Firearms (except 0A502 shotguns) and related commodities as follows (see Commerce Control List for full description)
1217,8A609,Surface Vessels of War and Related Commodities
1218,7A103,"Instrumentation, Navigation Equip./Systems Not Controlled by 7A003"
1219,7A611,"Navigation and Avionics equipment and systems, and ""parts,"" ""component"
1229,No ECCN,No ECCN
1233,5A992,Equipment not controlled by 5A002 (see List of Items Controlled)
1239,5D992,"""Information Security"" ""software"" not controlled by 5D002 as follows (see List of Items Controlled)"
1246,7A611,"Navigation and Avionics equipment and systems, and parts, component"
1302,0B501,"Test, inspection, and production ""equipment"" and related commodities f"
1307,9B001,"Equip., tooling Or Fixtures, ""Specially Designed"" for Manufacturing Ga"
1309,1C111,"Propellants and Constituent Chemicals, for Propellants, Other Than Tho"
1327,64994,"Optics, Not Controlled By 6A004, as Follows (See List of Items Control"
1343,No ECCN,No ECCM No ECCN is required for License Exceptions TMP
1357,2A001,"Anti-Friction Bearings and Bearing Systems, as Follows, (See List of I"
1391,0A501,Firearms
1399,0A505,Ammunition
1406,5D002,'Software'
1419,6A998,"Radar Systems, Equip. and Major ""Components,"" N.E.S., and ""Specially D"
1424,2A001,Anti-Friction Bearings and Bearing Systems
1428,7A994,Other Navigation Direction Finding Equip.
1430,1C991,"Vaccines, Immunotoxins and Medical Products"
1433,5D992,"""Information Security"" ""software"""
1434,18231,"Tritium Facilities Or Plants, and Equip"
1447,N/A,No ECCN is required for License Exceptions TMP
1454,5B002,"""Information Security"" test, inspection and “production” equipment"
1465,0A501,Firearms (except 0A502 shotguns) and related commodities
1466,0A504,Optical sighting devices for firearms (including shotguns controlled by 0A502)
1468,2B350,"Chemical manufacturing facilities and equipment, except valves controlled by 2B350.a"
1469,EAR99,Items subject to the EAR that are not elsewhere specified in this CCL
1470,9A619,Military gas turbine engines and related commodities
1471,1C350,Chemicals that may be used as precursors for toxic chemical agents
1472,3A001,Electronic items
1473,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectiles
1474,6A003,"Cameras, Systems or Equipment, and Components Therefor"
1475,5A002,"Information security systems, equipment and components"
1479,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002"
1480,5D002,Software
1482,3A611,Military electronics
1483,9A610,"Military Aircraft and Related Commodities, Other Than Those Enumerated"
1484,3A992,General purpose electronic equipment not controlled by 3A002
1486,5A991,"Telecommunication equipment, not controlled by 5A001"
1488,7A994,"Other navigation direction finding equipment, airborne communication equipment"
1489,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A001 or 4A002"
1490,3A999,"Specific Processing Equipment, n.e.s."
1491,2B999,"Specific Processing Equipment, n.e.s."
1492,1A995,Protective and detection equipment not specially designed for military use
1493,3A991,"Electronic devices, and components not controlled by 3A001"
1494,8A992,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
1496,3A611,"Military electronics, as follows (see List of Items Controlled)."
1497,9A619,Military gas turbine engines and related commodities (see List of Items Controlled).
1498,1A007,"Equipment and devices, specially designed to initiate charges and detonate (see List of Items Controlled)."
1499,5A002,"Information security systems, equipment and components, as follows (see List of Items Controlled)."
1500,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectiles (see List of Items Controlled).
1501,5D002,"Software, as follows (see List of Items Controlled)."
1502,0A602,Guns and Armament as follows (see List of Items Controlled).
1503,3A231,"Neutron generator systems, including tubes, having both of the characteristics (see List of Items Controlled)."
1504,7A994,"Other navigation direction finding equipment, airborne communication equipment, not controlled by 5A001 (see List of Items Controlled)."
1507,7E101,"Technology, according to the General Technology Note for the use of items on the Commerce Control List (see List of Items Controlled)."
1509,1A004,"Protective and Detection Equipment and Components, Not Specially Designed to Initiate Charges and Detonate (see List of Items Controlled)."
1510,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002 (see List of Items Controlled)."
1511,3B611,"Test, inspection, and production commodities for military electronics, as follows (see List of Items Controlled)."
1512,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Items Controlled)."
1513,6A008,"Radar systems, equipment and assemblies, having any of the following (see List of Items Controlled)."
1514,4A003,"Digital computers, electronic assemblies, and related equipment that are not controlled by 4A003 or 4A004 (see List of Items Controlled)."
1518,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A004 (see List of Items Controlled)."
1519,9A610,"Military Aircraft and Related Commodities, Other Than Those Enumerated (see List of Items Controlled)."
1520,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)."
1521,1C992,"Commercial charges and devices containing energetic materials, n.e.s. (see List of Items Controlled)."
1527,0A505,Ammunition as follows
1528,9B610,"Test, inspection, and production equipment and related commodities"
1531,8A609,Surface vessels of war and related commodities
1532,7A611,"Military fire control, laser, imaging, and guidance equipment"
1533,0A614,Military training equipment
1534,0A503,Discharge type arms
1537,1A004,Protective and Detection Equipment and Components
1542,0A604,Commodities related to military explosive devices and charges
1543,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or"
1548,7A994,"Other navigation direction finding equipment, airborne communication e"
1549,9A990,"Diesel engines, n.e.s., and tractors and specially designed parts"
1551,4A994,"Computers, electronic assemblies and related equipment not controlle"
1553,3A992,General purpose electronic equipment not specially designed for milita
1554,1A995,Military gas turbine engines and related commodities
1556,5A002,"Information security systems, equipment and components, as follows"
1557,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows"
1558,1A004,"Protective and Detection Equipment and Components, Not Specially De"
1559,6A993,"Cameras, not controlled by 6A003 or 6A203, as follows (see List of Ite"
1560,1C351,"Human and animal pathogens and toxins, as follows (see List of Items"
1564,1C607,"Tear Gases, Riot Control Agents and materials for the detection and de"
1565,6A008,"Radar systems, equipment and assemblies, having any of the following"
1566,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A101"
1567,4A003,"Digital computers, electronic assemblies, and related equipment th"
1568,3A001,Electronic items as follows (see List of Items Controlled)
1571,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Item"
1574,2B991,Numerical control units for machine tools and numerically controlled
1575,1A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1578,3A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1581,2B350,Chemical manufacturing facilities and equipment
1582,1C350,Chemicals
1583,0A504,Optical sighting devices for firearms
1585,0A502,Shotguns
1587,9A619,Military gas turbine engines
1588,7A103,"Instrumentation, navigation equipment and systems"
1592,EAR99,Items subject to the EAR that are not elsewhere specified
1595,9A991,Aircraft
1598,7A994,Other navigation direction finding equipment
1601,2B999,Specific Processing Equipment
1602,5A991,Telecommunication equipment
